S00 ,oz1001 ,2017-05-17 21:32:48.644
oz0206 ,125 , 5
oz0205 ,129 , 2
oz0204 ,196 , 1
S01 ,oz1002 ,2017-05-17 21:33:06.673
oz0207 ,172 , 5
oz0206 ,176 , 2
oz0205 ,187 , 1
C00 ,oz1000 ,2017-05-17 23:41:02.924
oz0104 ,651 , 5
oz0103 ,674 , 2
oz0102 ,768 , 1
C00 ,oz1001 ,2017-05-18 01:25:00.138
oz0102 ,566 , 5
oz0103 ,732 , 2
oz0101 ,772 , 1
C00 ,oz1001 ,2017-05-18 10:14:52.47
oz0100 ,663 , 5
oz0103 ,749 , 2
oz0101 ,769 , 1
C01 ,oz1002 ,2017-05-18 10:15:06.466
oz0102 ,750 , 5
oz0103 ,789 , 2
oz0101 ,789 , 1
C00 ,oz1003 ,2017-05-18 10:17:42.652
oz0102 ,555 , 5
oz0103 ,606 , 2
oz0101 ,734 , 1
C00 ,oz1002 ,2017-05-18 10:19:36.106
oz0101 ,522 , 5
oz0103 ,621 , 2
oz0100 ,724 , 1
C00 ,oz1001 ,2017-05-18 10:19:57.684
oz0102 ,621 , 5
oz0100 ,718 , 2
oz0103 ,747 , 1
C01 ,oz1001 ,2017-05-18 10:20:15.129
oz0100 ,622 , 5
oz0103 ,629 , 2
oz0101 ,799 , 1
C00 ,oz1001 ,2017-05-18 10:21:01.329
oz0103 ,594 , 5
oz0101 ,678 , 2
oz0100 ,770 , 1
C00 ,oz1002 ,2017-05-18 10:21:49.33
oz0101 ,555 , 5
oz0103 ,629 , 2
oz0100 ,755 , 1
C00 ,oz1002 ,2017-05-18 11:05:05.629
oz0100 ,631 , 5
oz0102 ,689 , 2
oz0103 ,736 , 1
C00 ,oz1002 ,2017-05-18 11:13:59.642
oz0100 ,601 , 5
oz0101 ,636 , 2
oz0102 ,725 , 1
C00 ,oz1001 ,2017-05-18 14:16:30.717
oz0103 ,689 , 5
oz0100 ,719 , 2
oz0101 ,737 , 1
C00 ,oz1002 ,2017-05-18 14:43:59.249
oz0101 ,673 , 5
oz0103 ,685 , 2
oz0100 ,704 , 1
S01 ,oz1003 ,2017-05-18 14:44:10.598
oz0408 ,140 , 5
oz0409 ,145 , 2
oz0407 ,189 , 1
C00 ,oz1001 ,2017-05-18 15:26:49.32
oz0101 ,662 , 5
oz0100 ,672 , 2
oz0103 ,697 , 1
C00 ,oz1002 ,2017-05-18 15:28:09.676
oz0101 ,557 , 5
oz0100 ,623 , 2
oz0103 ,791 , 1
C00 ,oz1003 ,2017-05-18 15:28:33.652
oz0103 ,643 , 5
oz0101 ,678 , 2
oz0102 ,702 , 1
C00 ,oz1001 ,2017-05-18 17:39:14.918
oz0102 ,578 , 5
oz0104 ,613 , 2
oz0103 ,629 , 1
C00 ,oz1001 ,2017-05-18 17:40:28.179
oz0104 ,625 , 5
oz0100 ,632 , 2
oz0103 ,715 , 1
C00 ,oz1001 ,2017-05-18 17:52:27.813
oz0103 ,579 , 5
oz0104 ,612 , 2
oz0101 ,631 , 1
C00 ,oz1001 ,2017-05-18 18:55:13.497
oz0100 ,545 , 5
oz0101 ,683 , 2
oz0102 ,755 , 1
C00 ,oz1001 ,2017-05-18 18:56:00.09
oz0100 ,670 , 5
oz0101 ,714 , 2
oz0102 ,766 , 1
C00 ,oz1001 ,2017-05-18 18:56:59.940
oz0102 ,515 , 5
oz0100 ,529 , 2
oz0101 ,667 , 1
C00 ,oz1001 ,2017-05-21 00:44:09.236
oz0102 ,539 , 5
oz0103 ,578 , 2
oz0100 ,704 , 1
C00 ,oz1000 ,2017-05-21 00:52:17.412
oz0103 ,731 , 5
oz0101 ,744 , 2
oz0102 ,789 , 1
C00 ,oz1001 ,2017-05-21 08:53:05.974
oz0100 ,785 , 5
oz0102 ,789 , 2
oz0101 ,792 , 1
C00 ,oz1001 ,2017-05-21 09:07:51.720
oz0101 ,592 , 5
oz0102 ,691 , 2
oz0100 ,752 , 1
C00 ,oz1001 ,2017-05-21 09:07:58.232
oz0103 ,623 , 5
oz0101 ,660 , 2
oz0100 ,716 , 1
C00 ,oz1001 ,2017-05-21 09:45:14.668
oz0103 ,712 , 5
oz0102 ,720 , 2
oz0101 ,734 , 1
C00 ,oz1001 ,2017-05-21 09:55:16.954
oz0100 ,705 , 5
oz0101 ,729 , 2
oz0103 ,741 , 1
C00 ,oz1001 ,2017-05-21 10:00:50.512
oz0103 ,624 , 5
oz0102 ,653 , 2
oz0101 ,747 , 1
C00 ,oz1001 ,2017-05-21 10:01:35.423
oz0102 ,580 , 5
oz0100 ,717 , 2
oz0101 ,763 , 1
C00 ,oz1001 ,2017-05-21 10:01:36.932
oz0101 ,580 , 5
oz0103 ,618 , 2
oz0102 ,754 , 1
C00 ,oz1001 ,2017-05-21 10:02:05.621
oz0103 ,598 , 5
oz0101 ,668 , 2
oz0102 ,733 , 1
C00 ,oz1001 ,2017-05-21 10:02:07.314
oz0102 ,638 , 5
oz0103 ,716 , 2
oz0101 ,770 , 1
C00 ,oz1001 ,2017-05-21 10:02:07.656
oz0103 ,604 , 5
oz0101 ,604 , 2
oz0100 ,782 , 1
C00 ,oz1001 ,2017-05-21 10:02:31.537
oz0103 ,593 , 5
oz0101 ,772 , 2
oz0100 ,779 , 1
C00 ,oz1001 ,2017-05-21 10:02:33.353
oz0103 ,596 , 5
oz0100 ,642 , 2
oz0102 ,734 , 1
C00 ,oz1001 ,2017-05-21 10:02:33.812
oz0101 ,716 , 5
oz0103 ,758 , 2
oz0102 ,770 , 1
C00 ,oz1001 ,2017-05-21 10:02:34.125
oz0100 ,718 , 5
oz0103 ,772 , 2
oz0102 ,777 , 1
C00 ,oz1002 ,2017-05-21 10:03:05.658
oz0100 ,572 , 5
oz0101 ,699 , 2
oz0103 ,700 , 1
C00 ,oz1001 ,2017-05-21 10:04:51.298
oz0102 ,693 , 5
oz0103 ,770 , 2
oz0100 ,774 , 1
C00 ,oz1001 ,2017-05-21 10:04:52.573
oz0101 ,601 , 5
oz0102 ,627 , 2
oz0103 ,655 , 1
C00 ,oz1001 ,2017-05-21 10:04:52.883
oz0101 ,587 , 5
oz0100 ,603 , 2
oz0103 ,654 , 1
C00 ,oz1001 ,2017-05-21 10:04:53.141
oz0101 ,649 , 5
oz0100 ,657 , 2
oz0102 ,695 , 1
C00 ,oz1001 ,2017-05-21 10:06:03.971
oz0102 ,640 , 5
oz0101 ,679 , 2
oz0100 ,737 , 1
C00 ,oz1002 ,2017-05-21 10:06:26.90
oz0102 ,656 , 5
oz0100 ,720 , 2
oz0103 ,739 , 1
C00 ,oz1001 ,2017-05-21 10:06:53.381
oz0101 ,554 , 5
oz0100 ,589 , 2
oz0103 ,747 , 1
C00 ,oz1000 ,2017-05-21 10:07:31.978
oz0102 ,544 , 5
oz0103 ,630 , 2
oz0101 ,736 , 1
oz0100
C00 ,oz1001 ,2017-05-21 10:08:08.827
oz0103 ,626 , 5
oz0102 ,671 , 2
oz0100 ,739 , 1
C00 ,oz1000 ,2017-05-21 10:15:17.834
oz0100 ,650 , 5
oz0101 ,673 , 2
oz0102 ,725 , 1
C00 ,oz1001 ,2017-05-21 10:32:02.996
oz0101 ,620 , 5
oz0103 ,641 , 2
